Episode,Scores
0,2.0
1,0.0
2,0.0
3,1.0
4,0.0
5,0.0
6,0.0
7,-2.0
8,0.0
9,0.0
10,0.0
11,2.0
12,0.0
13,0.0
14,-1.0
15,0.0
16,1.0
17,-1.0
18,0.0
19,-1.0
20,0.0
21,2.0
22,2.0
23,1.0
24,-1.0
25,-1.0
26,1.0
27,0.0
28,3.0
29,2.0
30,0.0
31,0.0
32,-1.0
33,2.0
34,1.0
35,2.0
36,2.0
37,0.0
38,1.0
39,0.0
40,1.0
41,0.0
42,0.0
43,1.0
44,0.0
45,0.0
46,0.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,0.0
53,0.0
54,2.0
55,4.0
56,2.0
57,1.0
58,2.0
59,1.0
60,-3.0
61,0.0
62,0.0
63,0.0
64,4.0
65,0.0
66,1.0
67,2.0
68,1.0
69,0.0
70,1.0
71,-1.0
72,2.0
73,1.0
74,0.0
75,0.0
76,3.0
77,1.0
78,1.0
79,1.0
80,0.0
81,1.0
82,5.0
83,0.0
84,5.0
85,0.0
86,5.0
87,5.0
88,0.0
89,1.0
90,6.0
91,1.0
92,2.0
93,1.0
94,-1.0
95,1.0
96,7.0
97,2.0
98,4.0
99,2.0
100,2.0
101,3.0
102,3.0
103,2.0
104,3.0
105,6.0
106,8.0
107,1.0
108,4.0
109,1.0
110,6.0
111,4.0
112,1.0
113,3.0
114,1.0
115,0.0
116,4.0
117,-3.0
118,2.0
119,5.0
120,3.0
121,3.0
122,4.0
123,6.0
124,2.0
125,5.0
126,2.0
127,-4.0
128,3.0
129,1.0
130,5.0
131,3.0
132,6.0
133,6.0
134,5.0
135,1.0
136,7.0
137,3.0
138,3.0
139,2.0
140,2.0
141,6.0
142,5.0
143,1.0
144,3.0
145,3.0
146,5.0
147,4.0
148,5.0
149,6.0
150,3.0
151,6.0
152,5.0
153,4.0
154,7.0
155,10.0
156,3.0
157,4.0
158,1.0
159,8.0
160,7.0
161,1.0
162,6.0
163,6.0
164,3.0
165,6.0
166,4.0
167,9.0
168,5.0
169,6.0
170,4.0
171,8.0
172,11.0
173,7.0
174,3.0
175,5.0
176,4.0
177,9.0
178,8.0
179,9.0
180,6.0
181,6.0
182,7.0
183,3.0
184,9.0
185,2.0
186,8.0
187,0.0
188,6.0
189,4.0
190,6.0
191,10.0
192,2.0
193,10.0
194,7.0
195,2.0
196,4.0
197,6.0
198,5.0
199,6.0
200,6.0
201,8.0
202,10.0
203,8.0
204,6.0
205,1.0
206,6.0
207,5.0
208,3.0
209,9.0
210,7.0
211,8.0
212,9.0
213,9.0
214,11.0
215,4.0
216,6.0
217,7.0
218,8.0
219,6.0
220,5.0
221,5.0
222,4.0
223,7.0
224,2.0
225,6.0
226,5.0
227,9.0
228,6.0
229,8.0
230,6.0
231,8.0
232,7.0
233,10.0
234,0.0
235,9.0
236,9.0
237,13.0
238,7.0
239,6.0
240,8.0
241,12.0
242,13.0
243,6.0
244,11.0
245,7.0
246,2.0
247,8.0
248,3.0
249,9.0
250,9.0
251,8.0
252,8.0
253,10.0
254,12.0
255,10.0
256,10.0
257,11.0
258,10.0
259,10.0
260,10.0
261,13.0
262,10.0
263,10.0
264,6.0
265,7.0
266,7.0
267,11.0
268,4.0
269,7.0
270,6.0
271,3.0
272,5.0
273,11.0
274,11.0
275,9.0
276,14.0
277,12.0
278,13.0
279,12.0
280,7.0
281,11.0
282,6.0
283,13.0
284,3.0
285,7.0
286,8.0
287,13.0
288,16.0
289,7.0
290,9.0
291,9.0
292,6.0
293,10.0
294,9.0
295,6.0
296,3.0
297,6.0
298,12.0
299,4.0
300,5.0
301,11.0
302,11.0
303,7.0
304,14.0
305,12.0
306,12.0
307,12.0
308,11.0
309,1.0
310,11.0
311,13.0
312,6.0
313,16.0
314,7.0
315,14.0
316,6.0
317,9.0
318,9.0
319,7.0
320,15.0
321,10.0
322,13.0
323,13.0
324,11.0
325,13.0
326,15.0
327,6.0
328,11.0
329,9.0
330,13.0
331,6.0
332,8.0
333,7.0
334,10.0
335,14.0
336,6.0
337,10.0
338,17.0
339,5.0
340,12.0
341,14.0
342,6.0
343,12.0
344,12.0
345,5.0
346,14.0
347,7.0
348,10.0
349,8.0
350,8.0
351,10.0
352,15.0
353,9.0
354,10.0
355,14.0
356,8.0
357,14.0
358,18.0
359,13.0
360,13.0
361,17.0
362,15.0
363,3.0
364,6.0
365,16.0
366,7.0
367,8.0
368,10.0
369,8.0
370,5.0
371,15.0
372,12.0
373,9.0
374,17.0
375,8.0
376,8.0
377,14.0
378,5.0
379,8.0
380,16.0
381,12.0
382,12.0
383,11.0
384,9.0
385,10.0
386,9.0
387,5.0
388,12.0
389,13.0
390,5.0
391,12.0
392,12.0
393,10.0
394,8.0
395,10.0
396,9.0
397,13.0
398,17.0
399,12.0
400,13.0
401,11.0
402,8.0
403,16.0
404,13.0
405,10.0
406,7.0
407,9.0
408,11.0
409,10.0
410,4.0
411,18.0
412,16.0
413,9.0
414,19.0
415,16.0
416,12.0
417,11.0
418,10.0
419,11.0
420,20.0
421,17.0
422,11.0
423,8.0
424,20.0
425,14.0
426,11.0
427,2.0
428,18.0
429,13.0
430,14.0
431,10.0
432,7.0
433,15.0
434,11.0
435,17.0
436,15.0
437,15.0
438,9.0
439,6.0
440,12.0
441,9.0
442,13.0
443,10.0
444,15.0
445,17.0
446,7.0
447,10.0
448,13.0
449,15.0
450,17.0
451,11.0
452,17.0
453,4.0
454,12.0
455,12.0
456,18.0
457,8.0
458,12.0
459,12.0
460,12.0
461,17.0
462,12.0
463,13.0
464,10.0
465,20.0
466,10.0
467,20.0
468,5.0
469,16.0
470,9.0
471,13.0
472,9.0
473,14.0
474,12.0
475,13.0
476,11.0
477,16.0
478,12.0
479,12.0
480,11.0
481,15.0
482,16.0
483,11.0
484,13.0
485,8.0
486,13.0
487,10.0
488,10.0
489,17.0
490,14.0
491,10.0
492,18.0
493,10.0
494,18.0
495,9.0
496,6.0
497,18.0
498,9.0
499,14.0
500,17.0
501,14.0
502,8.0
503,15.0
504,15.0
505,16.0
506,11.0
507,11.0
508,16.0
509,15.0
510,16.0
511,10.0
512,9.0
513,10.0
514,9.0
515,15.0
516,10.0
517,9.0
518,10.0
519,15.0
520,17.0
521,17.0
522,19.0
523,9.0
524,15.0
525,14.0
526,16.0
527,6.0
528,18.0
529,7.0
530,15.0
531,12.0
532,14.0
533,9.0
534,16.0
535,8.0
536,12.0
537,16.0
538,13.0
539,6.0
540,12.0
541,17.0
542,10.0
543,18.0
544,13.0
545,11.0
546,9.0
547,8.0
548,14.0
549,6.0
550,13.0
551,14.0
552,13.0
553,10.0
554,13.0
555,10.0
556,20.0
557,17.0
558,18.0
559,15.0
560,15.0
561,11.0
562,20.0
563,8.0
564,20.0
565,16.0
566,18.0
567,12.0
568,11.0
569,16.0
570,15.0
571,17.0
572,12.0
573,19.0
574,15.0
575,21.0
576,11.0
577,16.0
578,13.0
579,23.0
580,11.0
581,15.0
582,15.0
583,18.0
584,19.0
585,15.0
586,7.0
587,9.0
588,16.0
589,18.0
590,15.0
591,8.0
592,21.0
593,8.0
594,13.0
595,12.0
596,11.0
597,14.0
598,10.0
599,13.0
600,17.0
601,15.0
602,18.0
603,15.0
604,11.0
605,18.0
606,17.0
607,11.0
608,13.0
609,15.0
610,13.0
611,18.0
612,4.0
613,17.0
614,15.0
615,17.0
616,14.0
617,14.0
618,12.0
619,15.0
620,17.0
621,13.0
622,12.0
623,11.0
624,16.0
625,12.0
626,16.0
627,14.0
628,13.0
629,9.0
630,16.0
631,8.0
632,14.0
633,17.0
634,12.0
635,10.0
636,18.0
637,13.0
638,12.0
639,12.0
640,6.0
641,13.0
642,16.0
643,18.0
644,22.0
645,15.0
646,13.0
647,13.0
648,16.0
649,19.0
650,20.0
651,21.0
652,13.0
653,15.0
654,16.0
655,19.0
656,12.0
657,12.0
658,10.0
659,5.0
660,7.0
661,13.0
662,16.0
663,22.0
664,15.0
665,14.0
666,14.0
667,19.0
668,20.0
669,15.0
670,15.0
671,14.0
672,17.0
673,14.0
674,10.0
675,13.0
676,16.0
677,12.0
678,21.0
679,15.0
680,20.0
681,14.0
682,11.0
683,16.0
684,18.0
685,17.0
686,16.0
687,10.0
688,10.0
689,17.0
690,8.0
691,12.0
692,13.0
693,21.0
694,18.0
695,20.0
696,14.0
697,17.0
698,16.0
699,13.0
700,14.0
701,11.0
702,15.0
703,20.0
704,4.0
705,13.0
706,17.0
707,9.0
708,15.0
709,23.0
710,19.0
711,11.0
712,16.0
713,16.0
714,21.0
715,16.0
716,15.0
717,16.0
718,18.0
719,18.0
720,12.0
721,12.0
722,18.0
723,22.0
724,13.0
725,16.0
726,10.0
727,17.0
728,16.0
729,20.0
730,17.0
731,12.0
732,11.0
733,13.0
734,9.0
735,14.0
736,20.0
737,7.0
738,14.0
739,12.0
740,10.0
741,16.0
742,20.0
743,11.0
744,16.0
745,21.0
746,17.0
747,21.0
748,14.0
749,15.0
750,13.0
751,11.0
752,12.0
753,19.0
754,11.0
755,10.0
756,11.0
757,16.0
758,17.0
759,14.0
760,19.0
761,13.0
762,16.0
763,14.0
764,15.0
765,17.0
766,17.0
767,18.0
768,8.0
769,8.0
770,5.0
771,16.0
772,16.0
773,17.0
774,14.0
775,13.0
776,9.0
777,10.0
778,22.0
779,15.0
780,11.0
781,21.0
782,16.0
783,16.0
784,10.0
785,14.0
786,10.0
787,12.0
788,14.0
789,16.0
790,15.0
791,21.0
792,9.0
793,17.0
794,20.0
795,11.0
796,15.0
797,16.0
798,19.0
799,15.0
