Episode,Scores
0,1.0
1,-1.0
2,-1.0
3,-1.0
4,1.0
5,-1.0
6,1.0
7,-1.0
8,0.0
9,0.0
10,1.0
11,3.0
12,-1.0
13,2.0
14,0.0
15,1.0
16,0.0
17,-1.0
18,0.0
19,1.0
20,0.0
21,2.0
22,1.0
23,0.0
24,2.0
25,0.0
26,-2.0
27,0.0
28,1.0
29,1.0
30,0.0
31,0.0
32,-1.0
33,1.0
34,1.0
35,0.0
36,1.0
37,1.0
38,-3.0
39,1.0
40,0.0
41,0.0
42,0.0
43,-3.0
44,0.0
45,-1.0
46,0.0
47,2.0
48,3.0
49,0.0
50,1.0
51,0.0
52,1.0
53,0.0
54,1.0
55,0.0
56,1.0
57,-1.0
58,2.0
59,0.0
60,2.0
61,-1.0
62,0.0
63,3.0
64,1.0
65,0.0
66,-1.0
67,0.0
68,2.0
69,-1.0
70,3.0
71,-1.0
72,0.0
73,1.0
74,1.0
75,1.0
76,1.0
77,0.0
78,0.0
79,1.0
80,-1.0
81,2.0
82,4.0
83,1.0
84,3.0
85,3.0
86,5.0
87,4.0
88,5.0
89,0.0
90,3.0
91,0.0
92,0.0
93,-2.0
94,0.0
95,1.0
96,4.0
97,0.0
98,0.0
99,5.0
100,1.0
101,3.0
102,4.0
103,8.0
104,0.0
105,0.0
106,4.0
107,1.0
108,3.0
109,3.0
110,1.0
111,0.0
112,2.0
113,5.0
114,1.0
115,1.0
116,2.0
117,3.0
118,4.0
119,2.0
120,3.0
121,3.0
122,3.0
123,5.0
124,3.0
125,0.0
126,2.0
127,3.0
128,4.0
129,7.0
130,3.0
131,8.0
132,5.0
133,2.0
134,6.0
135,2.0
136,4.0
137,0.0
138,8.0
139,-1.0
140,3.0
141,1.0
142,2.0
143,5.0
144,9.0
145,2.0
146,7.0
147,4.0
148,4.0
149,1.0
150,3.0
151,4.0
152,2.0
153,6.0
154,4.0
155,6.0
156,3.0
157,2.0
158,8.0
159,4.0
160,1.0
161,0.0
162,2.0
163,5.0
164,7.0
165,4.0
166,6.0
167,5.0
168,6.0
169,0.0
170,5.0
171,10.0
172,1.0
173,6.0
174,5.0
175,7.0
176,8.0
177,4.0
178,4.0
179,5.0
180,6.0
181,11.0
182,6.0
183,6.0
184,2.0
185,8.0
186,4.0
187,10.0
188,6.0
189,6.0
190,4.0
191,3.0
192,5.0
193,6.0
194,10.0
195,6.0
196,7.0
197,3.0
198,6.0
199,7.0
200,2.0
201,6.0
202,4.0
203,4.0
204,12.0
