Episode,Scores
0,-2.0
1,2.0
2,1.0
3,1.0
4,1.0
5,-1.0
6,0.0
7,-1.0
8,2.0
9,0.0
10,1.0
11,1.0
12,-1.0
13,1.0
14,0.0
15,1.0
16,2.0
17,0.0
18,0.0
19,1.0
20,0.0
21,-1.0
22,0.0
23,-1.0
24,0.0
25,2.0
26,1.0
27,2.0
28,0.0
29,1.0
30,1.0
31,-2.0
32,-2.0
33,-1.0
34,1.0
35,1.0
36,0.0
37,1.0
38,2.0
39,1.0
40,0.0
41,2.0
42,0.0
43,1.0
44,0.0
45,1.0
46,-1.0
47,1.0
48,2.0
49,0.0
50,1.0
51,3.0
52,-1.0
53,0.0
54,1.0
55,0.0
56,2.0
57,0.0
58,-2.0
59,2.0
60,0.0
61,1.0
62,0.0
63,2.0
64,-1.0
65,3.0
66,0.0
67,1.0
68,3.0
69,1.0
70,1.0
71,2.0
72,2.0
73,3.0
74,2.0
75,2.0
76,0.0
77,-2.0
78,1.0
79,2.0
80,3.0
81,2.0
82,1.0
83,4.0
84,2.0
85,1.0
86,1.0
87,1.0
88,1.0
89,4.0
90,2.0
91,2.0
92,2.0
93,1.0
94,3.0
95,2.0
96,7.0
97,4.0
98,1.0
99,2.0
100,7.0
101,4.0
102,0.0
103,0.0
104,3.0
105,0.0
106,3.0
107,3.0
108,3.0
109,4.0
110,1.0
111,4.0
112,2.0
113,3.0
114,4.0
115,5.0
116,-1.0
117,2.0
118,4.0
119,3.0
120,2.0
121,4.0
122,5.0
123,5.0
124,4.0
125,2.0
126,3.0
127,-1.0
128,4.0
129,5.0
130,3.0
131,1.0
132,5.0
133,2.0
134,2.0
135,4.0
136,1.0
137,1.0
138,5.0
139,2.0
140,0.0
141,5.0
142,2.0
143,5.0
144,2.0
145,8.0
146,4.0
147,5.0
148,1.0
149,5.0
150,2.0
151,0.0
152,7.0
153,5.0
154,8.0
155,4.0
156,4.0
157,2.0
158,5.0
159,5.0
160,5.0
161,10.0
162,6.0
163,7.0
164,4.0
165,4.0
166,7.0
167,2.0
168,3.0
169,7.0
170,3.0
171,10.0
172,10.0
173,4.0
174,9.0
175,6.0
176,4.0
177,3.0
178,2.0
179,11.0
180,12.0
181,5.0
182,4.0
183,5.0
184,3.0
185,4.0
186,6.0
187,5.0
188,9.0
189,8.0
190,7.0
191,8.0
192,10.0
193,2.0
194,2.0
195,2.0
196,7.0
197,5.0
198,12.0
199,5.0
200,5.0
201,9.0
202,5.0
203,6.0
204,6.0
205,6.0
206,5.0
207,6.0
208,4.0
209,0.0
210,8.0
211,2.0
212,6.0
213,1.0
214,6.0
215,7.0
216,6.0
217,9.0
218,2.0
219,7.0
220,1.0
221,8.0
222,8.0
223,10.0
224,4.0
225,9.0
226,8.0
227,8.0
228,9.0
229,4.0
230,10.0
231,0.0
232,5.0
233,0.0
234,6.0
235,4.0
236,8.0
237,10.0
238,10.0
239,9.0
240,10.0
241,5.0
242,1.0
243,9.0
244,4.0
245,7.0
246,5.0
247,12.0
248,11.0
249,2.0
250,3.0
251,10.0
252,4.0
253,6.0
254,13.0
255,11.0
256,3.0
257,4.0
258,8.0
259,14.0
260,13.0
261,9.0
262,11.0
263,12.0
264,6.0
265,1.0
266,13.0
267,6.0
268,3.0
269,9.0
270,6.0
271,9.0
272,12.0
273,9.0
274,5.0
275,8.0
276,10.0
277,4.0
278,10.0
279,8.0
280,9.0
281,12.0
282,7.0
283,11.0
284,11.0
285,5.0
286,5.0
287,13.0
288,11.0
289,8.0
290,3.0
291,12.0
292,13.0
293,8.0
294,11.0
295,5.0
296,8.0
297,10.0
298,8.0
299,10.0
300,11.0
301,5.0
302,5.0
303,9.0
304,9.0
305,7.0
306,8.0
307,4.0
308,5.0
309,5.0
310,10.0
311,8.0
312,7.0
313,16.0
314,12.0
315,13.0
316,9.0
317,4.0
318,8.0
319,8.0
320,12.0
321,6.0
322,6.0
323,12.0
324,14.0
325,8.0
326,13.0
327,15.0
328,7.0
329,8.0
330,4.0
331,18.0
332,4.0
333,12.0
334,7.0
335,4.0
336,5.0
337,10.0
338,11.0
339,14.0
340,11.0
341,15.0
342,8.0
343,9.0
344,10.0
345,9.0
346,12.0
347,14.0
348,7.0
349,8.0
350,8.0
351,10.0
352,13.0
353,11.0
354,14.0
355,8.0
356,11.0
357,9.0
358,9.0
359,10.0
360,13.0
361,5.0
362,9.0
363,7.0
364,5.0
365,12.0
366,15.0
367,9.0
368,18.0
369,11.0
370,11.0
371,10.0
372,6.0
373,12.0
374,7.0
375,13.0
376,7.0
377,10.0
378,6.0
379,15.0
380,6.0
381,5.0
382,12.0
383,10.0
384,16.0
385,8.0
386,16.0
387,13.0
388,7.0
389,13.0
390,11.0
391,14.0
392,12.0
393,14.0
394,9.0
395,13.0
396,12.0
397,6.0
398,11.0
399,10.0
400,14.0
401,13.0
402,6.0
403,11.0
404,11.0
405,18.0
406,7.0
407,12.0
408,8.0
409,16.0
410,5.0
411,10.0
412,13.0
413,10.0
414,8.0
415,9.0
416,4.0
417,12.0
418,7.0
419,5.0
420,10.0
421,15.0
422,14.0
423,10.0
424,10.0
425,14.0
426,11.0
427,7.0
428,6.0
429,14.0
430,15.0
431,16.0
432,9.0
433,13.0
434,15.0
435,15.0
436,10.0
437,19.0
438,12.0
439,13.0
440,20.0
441,12.0
442,12.0
443,13.0
444,8.0
445,5.0
446,16.0
447,14.0
448,11.0
449,4.0
450,15.0
451,19.0
452,17.0
453,11.0
454,16.0
455,10.0
456,14.0
457,4.0
458,10.0
459,14.0
460,18.0
461,13.0
462,11.0
463,6.0
464,15.0
465,13.0
466,12.0
467,9.0
468,10.0
469,11.0
470,15.0
471,14.0
472,10.0
473,14.0
474,13.0
475,9.0
476,10.0
477,18.0
478,16.0
479,4.0
480,17.0
481,12.0
482,4.0
483,7.0
484,16.0
485,13.0
486,21.0
487,14.0
488,11.0
489,11.0
490,12.0
491,11.0
492,19.0
493,7.0
494,16.0
495,17.0
496,9.0
497,4.0
498,9.0
499,5.0
500,11.0
501,14.0
502,6.0
503,15.0
504,11.0
505,16.0
506,9.0
507,15.0
508,5.0
509,9.0
510,15.0
511,12.0
512,16.0
513,14.0
514,19.0
515,19.0
516,14.0
517,12.0
518,13.0
519,16.0
520,11.0
521,14.0
522,13.0
523,12.0
524,15.0
525,14.0
526,14.0
527,15.0
528,16.0
529,15.0
530,12.0
531,11.0
532,13.0
533,9.0
534,13.0
535,13.0
536,12.0
537,13.0
538,22.0
539,12.0
540,18.0
541,11.0
542,4.0
543,15.0
544,14.0
545,16.0
546,19.0
547,20.0
548,12.0
549,15.0
550,16.0
551,17.0
552,18.0
553,5.0
554,18.0
555,14.0
556,18.0
557,13.0
558,16.0
559,16.0
560,21.0
561,17.0
562,14.0
563,18.0
564,15.0
565,18.0
566,15.0
567,13.0
568,13.0
569,9.0
570,17.0
571,20.0
572,16.0
573,12.0
574,13.0
575,15.0
576,12.0
577,15.0
578,15.0
579,19.0
580,13.0
581,22.0
582,18.0
583,11.0
584,18.0
585,21.0
586,13.0
587,17.0
588,14.0
589,12.0
590,15.0
591,16.0
592,12.0
593,17.0
594,13.0
595,18.0
596,15.0
597,15.0
598,10.0
599,11.0
600,17.0
601,19.0
602,18.0
603,18.0
604,10.0
605,15.0
606,15.0
607,17.0
608,7.0
609,17.0
610,15.0
611,18.0
612,5.0
613,15.0
614,17.0
615,17.0
616,9.0
617,14.0
618,7.0
619,13.0
620,21.0
621,18.0
622,14.0
623,11.0
624,21.0
625,9.0
626,17.0
627,16.0
628,16.0
629,20.0
630,14.0
631,8.0
632,12.0
633,9.0
634,12.0
635,5.0
636,13.0
637,20.0
638,14.0
639,12.0
640,22.0
641,16.0
642,19.0
643,19.0
644,14.0
645,18.0
646,10.0
647,16.0
648,16.0
649,17.0
650,18.0
651,21.0
652,13.0
653,14.0
654,17.0
655,17.0
656,12.0
657,14.0
658,13.0
659,14.0
660,14.0
661,17.0
662,15.0
663,17.0
664,14.0
665,13.0
666,14.0
667,19.0
668,19.0
669,8.0
670,21.0
671,14.0
672,18.0
673,11.0
674,14.0
675,15.0
676,14.0
677,9.0
678,18.0
679,14.0
680,18.0
681,17.0
682,16.0
683,12.0
684,15.0
685,18.0
686,15.0
687,5.0
688,15.0
689,11.0
690,9.0
691,15.0
692,12.0
693,10.0
694,12.0
695,18.0
696,13.0
697,14.0
698,13.0
699,12.0
700,16.0
701,17.0
702,17.0
703,14.0
704,16.0
705,22.0
706,11.0
707,17.0
708,14.0
709,14.0
710,15.0
711,15.0
712,22.0
713,14.0
714,13.0
715,14.0
716,18.0
717,15.0
718,21.0
719,18.0
720,18.0
721,14.0
722,15.0
723,10.0
724,11.0
725,19.0
726,16.0
727,14.0
728,17.0
729,11.0
730,21.0
731,21.0
732,13.0
733,23.0
734,17.0
735,18.0
736,15.0
737,16.0
738,18.0
739,18.0
740,10.0
741,10.0
742,5.0
743,13.0
744,17.0
745,13.0
746,11.0
747,20.0
748,16.0
749,14.0
750,15.0
751,16.0
752,16.0
753,11.0
754,17.0
755,15.0
756,24.0
757,15.0
758,16.0
759,9.0
760,15.0
761,19.0
762,18.0
763,11.0
764,12.0
765,16.0
766,16.0
767,20.0
768,17.0
769,15.0
770,14.0
771,13.0
772,21.0
773,14.0
774,13.0
775,17.0
776,15.0
777,14.0
778,18.0
779,16.0
780,21.0
781,20.0
782,11.0
783,17.0
784,20.0
785,18.0
786,15.0
787,17.0
788,14.0
789,26.0
790,6.0
791,5.0
792,17.0
793,9.0
794,12.0
795,16.0
796,13.0
797,10.0
798,20.0
799,6.0
