Episode,Scores
0,0.0
1,2.0
2,1.0
3,1.0
4,0.0
5,-3.0
6,-1.0
7,0.0
8,2.0
9,1.0
10,-1.0
11,1.0
12,0.0
13,0.0
14,0.0
15,-1.0
16,1.0
17,0.0
18,0.0
19,0.0
20,0.0
21,3.0
22,-2.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,1.0
29,-1.0
30,-3.0
31,0.0
32,0.0
33,-2.0
34,0.0
35,1.0
36,2.0
37,0.0
38,0.0
39,2.0
40,1.0
41,2.0
42,2.0
43,1.0
44,3.0
45,-1.0
46,1.0
47,1.0
48,3.0
49,0.0
50,2.0
51,1.0
52,-3.0
53,0.0
54,0.0
55,-1.0
56,3.0
57,0.0
58,-1.0
59,1.0
60,1.0
61,0.0
62,1.0
63,-2.0
64,1.0
65,-1.0
66,1.0
67,0.0
68,3.0
69,1.0
70,2.0
71,4.0
72,2.0
73,2.0
74,1.0
75,0.0
76,2.0
77,1.0
78,0.0
79,2.0
80,3.0
81,1.0
82,5.0
83,0.0
84,2.0
85,3.0
86,1.0
87,0.0
88,4.0
89,3.0
90,2.0
91,1.0
92,0.0
93,-1.0
94,3.0
95,3.0
96,2.0
97,3.0
98,0.0
99,3.0
100,2.0
101,1.0
102,1.0
103,1.0
104,2.0
105,1.0
106,1.0
107,5.0
108,6.0
109,2.0
110,1.0
111,4.0
112,2.0
113,2.0
114,3.0
115,3.0
116,4.0
117,1.0
118,5.0
119,0.0
120,2.0
121,2.0
122,6.0
123,3.0
124,4.0
125,5.0
126,6.0
127,8.0
128,5.0
129,4.0
130,8.0
131,6.0
132,4.0
133,3.0
134,5.0
135,1.0
136,6.0
137,5.0
138,5.0
139,4.0
140,0.0
141,8.0
142,8.0
143,2.0
144,5.0
145,0.0
146,1.0
147,4.0
148,4.0
149,1.0
150,3.0
151,5.0
152,2.0
153,-1.0
154,5.0
155,5.0
156,1.0
157,4.0
158,9.0
159,2.0
160,7.0
161,5.0
162,3.0
163,1.0
164,7.0
165,1.0
166,2.0
167,2.0
168,5.0
169,9.0
170,5.0
171,1.0
172,4.0
173,4.0
174,6.0
175,3.0
176,4.0
177,7.0
178,6.0
179,5.0
180,1.0
181,5.0
182,2.0
183,7.0
184,1.0
185,9.0
186,7.0
187,5.0
188,4.0
189,9.0
190,2.0
191,7.0
192,7.0
193,10.0
194,3.0
195,-1.0
196,10.0
197,4.0
198,1.0
199,7.0
200,5.0
201,4.0
202,1.0
203,6.0
204,0.0
205,7.0
206,1.0
207,5.0
208,5.0
209,11.0
210,8.0
211,8.0
212,6.0
213,6.0
214,6.0
215,7.0
216,8.0
217,10.0
218,1.0
219,8.0
220,6.0
221,10.0
222,6.0
223,3.0
224,9.0
225,5.0
226,5.0
227,5.0
228,8.0
229,5.0
230,5.0
231,7.0
232,2.0
233,3.0
234,9.0
235,6.0
236,2.0
237,10.0
238,8.0
239,7.0
240,9.0
241,8.0
242,5.0
243,7.0
244,3.0
245,7.0
246,6.0
247,12.0
248,4.0
249,0.0
