Episode,DQN,DDQN,PERDQN,PERDDQN
0,-1.0,2.0,-1.0,-2.0
1,0.0,0.0,-2.0,-1.0
2,-1.0,1.0,1.0,0.0
3,1.0,0.0,1.0,0.0
4,-2.0,0.0,1.0,0.0
5,0.0,1.0,-1.0,-3.0
6,0.0,-2.0,-1.0,1.0
7,-3.0,2.0,-1.0,0.0
8,0.0,-1.0,1.0,0.0
9,0.0,-1.0,-1.0,0.0
10,0.0,2.0,0.0,1.0
11,0.0,-1.0,1.0,0.0
12,-1.0,1.0,1.0,-1.0
13,0.0,1.0,-1.0,0.0
14,2.0,0.0,1.0,1.0
15,2.0,2.0,2.0,-1.0
16,-1.0,0.0,1.0,-1.0
17,0.0,-2.0,2.0,1.0
18,-1.0,0.0,1.0,1.0
19,-1.0,1.0,-1.0,0.0
20,0.0,1.0,0.0,3.0
21,-1.0,1.0,1.0,2.0
22,1.0,0.0,0.0,1.0
23,1.0,1.0,2.0,0.0
24,-1.0,-1.0,2.0,-1.0
25,3.0,2.0,0.0,-2.0
26,-1.0,0.0,0.0,2.0
27,0.0,-1.0,0.0,1.0
28,1.0,-2.0,3.0,0.0
29,0.0,2.0,-2.0,1.0
30,2.0,-1.0,0.0,-1.0
31,1.0,-1.0,0.0,-1.0
32,2.0,-1.0,0.0,-2.0
33,-1.0,0.0,1.0,0.0
34,4.0,2.0,-1.0,2.0
35,0.0,4.0,0.0,0.0
36,0.0,1.0,2.0,1.0
37,1.0,0.0,0.0,-1.0
38,-1.0,2.0,1.0,-2.0
39,1.0,0.0,2.0,-2.0
40,2.0,1.0,-2.0,0.0
41,2.0,0.0,2.0,1.0
42,1.0,-1.0,-3.0,1.0
43,-2.0,0.0,0.0,-1.0
44,0.0,2.0,-2.0,-1.0
45,3.0,0.0,-1.0,2.0
46,2.0,1.0,0.0,1.0
47,0.0,2.0,0.0,0.0
48,3.0,2.0,2.0,1.0
49,1.0,0.0,-1.0,0.0
50,3.0,0.0,0.0,2.0
51,1.0,-2.0,2.0,3.0
52,0.0,1.0,-1.0,1.0
53,0.0,0.0,1.0,-1.0
54,2.0,0.0,3.0,3.0
55,-1.0,1.0,4.0,0.0
56,0.0,-2.0,1.0,0.0
57,3.0,-1.0,1.0,0.0
58,1.0,-2.0,-1.0,1.0
59,0.0,1.0,1.0,1.0
60,2.0,-2.0,1.0,1.0
61,2.0,0.0,1.0,-2.0
62,2.0,1.0,0.0,-2.0
63,2.0,2.0,2.0,0.0
64,1.0,-2.0,2.0,1.0
65,1.0,2.0,3.0,1.0
66,-1.0,1.0,0.0,-1.0
67,0.0,3.0,1.0,-1.0
68,1.0,-1.0,2.0,1.0
69,2.0,1.0,0.0,0.0
70,0.0,0.0,-4.0,0.0
71,0.0,-1.0,2.0,1.0
72,1.0,1.0,0.0,0.0
73,0.0,1.0,-2.0,0.0
74,1.0,1.0,3.0,0.0
75,3.0,0.0,2.0,0.0
76,4.0,2.0,1.0,1.0
77,0.0,0.0,2.0,1.0
78,0.0,1.0,0.0,0.0
79,0.0,4.0,3.0,1.0
80,2.0,2.0,-2.0,-1.0
81,1.0,1.0,0.0,-1.0
82,1.0,-1.0,3.0,3.0
83,2.0,1.0,0.0,1.0
84,3.0,1.0,2.0,2.0
85,2.0,0.0,2.0,0.0
86,4.0,3.0,2.0,0.0
87,4.0,0.0,4.0,3.0
88,3.0,3.0,2.0,0.0
89,2.0,1.0,1.0,1.0
90,5.0,1.0,7.0,0.0
91,1.0,0.0,4.0,1.0
92,3.0,4.0,0.0,1.0
93,3.0,0.0,1.0,0.0
94,2.0,0.0,0.0,0.0
95,4.0,0.0,3.0,1.0
96,4.0,-1.0,4.0,1.0
97,1.0,0.0,1.0,2.0
98,1.0,2.0,4.0,-1.0
99,1.0,-1.0,0.0,3.0
100,0.0,4.0,2.0,0.0
101,6.0,4.0,0.0,3.0
102,1.0,4.0,1.0,0.0
103,1.0,0.0,0.0,5.0
104,5.0,4.0,5.0,0.0
105,3.0,1.0,2.0,3.0
106,6.0,6.0,4.0,1.0
107,1.0,6.0,-1.0,2.0
108,0.0,-1.0,1.0,-1.0
109,1.0,8.0,2.0,0.0
110,4.0,3.0,1.0,1.0
111,1.0,2.0,1.0,-1.0
112,3.0,1.0,0.0,0.0
113,3.0,2.0,2.0,-1.0
114,7.0,2.0,0.0,5.0
115,5.0,1.0,3.0,-1.0
116,6.0,9.0,1.0,3.0
117,3.0,4.0,3.0,2.0
118,6.0,2.0,3.0,-2.0
119,2.0,5.0,3.0,2.0
120,1.0,9.0,3.0,0.0
121,5.0,1.0,2.0,-1.0
122,4.0,0.0,4.0,1.0
123,0.0,1.0,6.0,0.0
124,1.0,6.0,3.0,0.0
125,2.0,3.0,2.0,1.0
126,4.0,-1.0,6.0,2.0
127,3.0,4.0,3.0,5.0
128,4.0,5.0,0.0,1.0
129,2.0,4.0,7.0,3.0
130,6.0,0.0,1.0,2.0
131,2.0,5.0,4.0,3.0
132,3.0,2.0,3.0,1.0
133,1.0,1.0,-1.0,8.0
134,5.0,7.0,2.0,2.0
135,8.0,1.0,5.0,1.0
136,1.0,7.0,4.0,0.0
137,3.0,2.0,2.0,1.0
138,3.0,1.0,5.0,3.0
139,4.0,9.0,4.0,-1.0
140,3.0,1.0,2.0,4.0
141,4.0,5.0,3.0,-1.0
142,5.0,0.0,1.0,7.0
143,6.0,1.0,-2.0,5.0
144,2.0,4.0,2.0,-2.0
145,5.0,-1.0,7.0,2.0
